지점,지점명,일시,강수량(mm),적설(cm),3시간신적설(cm)
108,서울,2017-01-25 08:00,,1.9,
108,서울,2017-01-25 09:00,,1.9,
108,서울,2017-01-25 10:00,,1.9,
108,서울,2017-01-25 11:00,,1.9,
108,서울,2017-01-25 12:00,,1.9,
108,서울,2017-01-25 13:00,,1.9,
108,서울,2017-01-25 14:00,,1.8,
108,서울,2017-01-25 15:00,,1.7,
108,서울,2017-01-25 16:00,,1.6,
108,서울,2017-01-25 17:00,,1.5,
108,서울,2017-01-25 18:00,,1.5,
108,서울,2017-01-25 19:00,,1.5,
108,서울,2017-01-25 20:00,,1.5,
108,서울,2017-01-25 21:00,,1.5,
108,서울,2017-01-25 22:00,,1.5,
108,서울,2017-01-25 23:00,,1.5,
108,서울,2017-01-26 00:00,,1.5,
108,서울,2017-01-26 01:00,,1.5,
108,서울,2017-01-26 02:00,,1.5,
108,서울,2017-01-26 03:00,,1.5,
108,서울,2017-01-26 04:00,,1.5,
108,서울,2017-01-26 05:00,,1.5,
108,서울,2017-01-26 06:00,,1.5,
108,서울,2017-01-26 07:00,,1.5,
108,서울,2017-01-26 08:00,,1.5,
108,서울,2017-01-26 09:00,,1.4,
108,서울,2017-01-26 10:00,,1.4,
108,서울,2017-01-26 11:00,,1.4,
108,서울,2017-01-26 12:00,,1.4,
108,서울,2017-01-26 13:00,,1.3,
108,서울,2017-01-26 14:00,,1.3,
108,서울,2017-01-26 15:00,,1.2,
108,서울,2017-01-26 16:00,,1.2,
108,서울,2017-01-26 17:00,,1.2,
108,서울,2017-01-26 18:00,,1.2,
108,서울,2017-01-26 19:00,,1.2,
108,서울,2017-01-26 20:00,,1.2,
108,서울,2017-01-26 21:00,,1.2,
108,서울,2017-01-26 22:00,,1.2,
108,서울,2017-01-26 23:00,,1.2,
108,서울,2017-01-27 00:00,.3,.9,
108,서울,2017-01-27 03:00,3,,
108,서울,2017-01-29 06:00,0,,
108,서울,2017-01-29 12:00,.2,,
108,서울,2017-01-29 15:00,.8,,
108,서울,2017-01-29 17:00,,.4,
108,서울,2017-01-29 18:00,1.8,.6,.6
108,서울,2017-01-29 19:00,,1.1,
108,서울,2017-01-29 20:00,,1.6,
108,서울,2017-01-29 21:00,1.3,1.7,1.2
108,서울,2017-01-29 22:00,,2,
108,서울,2017-01-29 23:00,,2.1,
108,서울,2017-01-30 00:00,.4,2.1,.4
108,서울,2017-01-30 01:00,,2.1,
108,서울,2017-01-30 02:00,,2.2,
108,서울,2017-01-30 03:00,.1,2.2,.1
108,서울,2017-01-30 04:00,,2.2,
108,서울,2017-01-30 05:00,,2.2,
108,서울,2017-01-30 06:00,,2.2,
108,서울,2017-01-30 07:00,,2.2,
108,서울,2017-01-30 08:00,,2.2,
108,서울,2017-01-30 09:00,,2.2,
108,서울,2017-01-30 10:00,,2.1,
108,서울,2017-01-30 11:00,,2,
108,서울,2017-01-30 12:00,,1.9,
108,서울,2017-01-30 13:00,,1.9,
108,서울,2017-01-30 14:00,,1.8,
108,서울,2017-01-30 15:00,,1.7,
108,서울,2017-01-30 16:00,,1.5,
108,서울,2017-01-30 17:00,,1.5,
108,서울,2017-01-30 18:00,,1.5,
108,서울,2017-01-30 19:00,,1.5,
108,서울,2017-01-30 20:00,,1.5,
108,서울,2017-01-30 21:00,,1.5,
108,서울,2017-01-30 22:00,,1.5,
108,서울,2017-01-30 23:00,,1.5,
108,서울,2017-01-31 00:00,,1.5,
108,서울,2017-01-31 01:00,,1.5,
108,서울,2017-01-31 02:00,,1.5,
108,서울,2017-01-31 03:00,,1.5,
108,서울,2017-01-31 04:00,,1.5,
108,서울,2017-01-31 05:00,,1.5,
108,서울,2017-01-31 06:00,,1.5,
108,서울,2017-01-31 07:00,,1.5,
108,서울,2017-01-31 08:00,,1.5,
